element,web_name,team,pos,price,xp_total,gws,xp_per_gw,value
622,Braithwaite,MCI,DEF,4.0,9.317115299802715,6,1.5528525499671193,2.329278824950679
634,Fernandez-Pardo,NEW,FWD,6.0,9.255913976301072,6,1.542652329383512,1.542652329383512
520,Bergvall,TOT,MID,5.4,9.154189125111031,6,1.5256981875185052,1.6952202083538945
162,Andrey Santos,MUN,MID,4.9,9.151454308550061,6,1.5252423847583436,1.867643736438788
516,Bentancur,TOT,MID,5.5,9.139859185993059,6,1.5233098643321765,1.6617925792714652
580,Charles,FUL,MID,5.0,9.062549167584926,6,1.5104248612641544,1.8125098335169851
188,Torp,COV,MID,5.4,9.057677381385671,6,1.509612896897612,1.6773476632195687
263,Kevin,FUL,MID,5.4,9.05153836717521,6,1.508589727862535,1.6762108087361498
584,Hamer,COV,MID,5.5,9.014053107323727,6,1.5023421845539546,1.6389187467861321
526,Solanke,TOT,FWD,5.9,9.012679572873099,6,1.5021132621455164,1.5275728089615421
104,Onyeka,COV,MID,5.0,8.938478856253404,6,1.489746476042234,1.787695771250681
406,Kovačić,MCI,MID,5.4,8.85094706785537,6,1.4751578446425617,1.6390642718250685
160,Garnacho,AVL,MID,5.9,8.845718899675978,6,1.4742864832793297,1.4992743897755894
640,Flemming,IPS,FWD,5.5,8.83105450611201,6,1.4718424176853349,1.605646273838547
600,Osman,BHA,MID,5.0,8.828646817080358,6,1.4714411361800597,1.7657293634160716
323,McAteer,IPS,MID,4.5,8.801741746414798,6,1.4669569577357997,1.9559426103143995
28,Martinez,CHE,GK,5.0,8.759315685669023,6,1.4598859476115038,1.7518631371338045
457,J.Murphy,NEW,MID,5.9,8.725421934190829,6,1.4542369890318048,1.4788850735916659
419,Martinez,MUN,DEF,5.0,8.6286933187188,6,1.4381155531198002,1.7257386637437602
456,J.Ramsey,NEW,MID,4.9,8.602025417845319,6,1.4336709029742198,1.7555153913970036
651,J.Angulo,SUN,FWD,4.5,8.499826809738213,6,1.4166378016230354,1.8888504021640473
19,Zubimendi,ARS,MID,5.4,8.354375453850718,6,1.3923959089751197,1.5471065655279106
52,Alysson,AVL,MID,5.0,8.345182691780973,6,1.3908637819634955,1.6690365383561947
